,item_id,activation_date,date_from,date_to
1000000,b8a335c6ceee,3/10/17,3/15/17,3/28/17
1000001,e208f79e7c47,2/27/17,3/15/17,3/18/17
1000002,87c311723851,3/19/17,3/19/17,3/28/17
1000003,6f650813ed85,3/14/17,3/15/17,3/28/17
1000004,0b2fc250404f,3/20/17,3/20/17,3/28/17
1000005,ce0e7129eec0,3/12/17,3/15/17,3/20/17
1000006,1d9cdb5b629f,2/25/17,3/15/17,3/27/17
1000007,50c939dfddfa,3/22/17,3/22/17,3/28/17
1000008,9feeb34a7856,3/18/17,3/18/17,3/28/17
1000009,eeb03b4e48d9,3/20/17,3/20/17,3/28/17
1000010,cce985db8047,2/16/17,3/15/17,3/18/17
1000011,db9feb6574dc,2/24/17,3/15/17,3/25/17
1000012,d0d9c97c50dd,3/27/17,3/27/17,3/28/17
1000013,e3375f937f09,2/16/17,3/15/17,3/18/17
1000014,49bdbf257aae,2/19/17,3/15/17,3/21/17
1000015,2fc7919f80c3,3/21/17,3/21/17,3/28/17
1000016,0f27b8cc41fb,2/15/17,3/15/17,3/17/17
1000017,60fc5c312d10,2/19/17,3/15/17,3/21/17
1000018,3bcc7edea11b,3/16/17,3/16/17,3/28/17
1000019,692ac8072e9d,2/19/17,3/15/17,3/20/17
1000020,a60cc64d1b42,2/16/17,3/15/17,3/18/17
1000021,c32fd704bb8a,3/13/17,3/15/17,3/28/17
1000022,344b9aea8e66,2/20/17,3/15/17,3/21/17
1000023,880ab1ad2b83,3/4/17,3/15/17,3/28/17
1000024,d4fab24d640c,2/24/17,3/15/17,3/26/17
1000025,de18dbaf2aa4,3/20/17,3/20/17,3/28/17
1000026,85e93f1c24ff,3/1/17,3/15/17,3/28/17
1000027,d0484915d3c9,3/2/17,3/15/17,3/28/17
1000028,738f0dddd6c6,3/11/17,3/15/17,3/28/17
1000029,460b3f357475,3/11/17,3/15/17,3/28/17
1000030,704ff7ff81c1,3/15/17,3/15/17,3/28/17
1.00E+06,8200e18638c6,3/18/17,3/18/17,3/28/17
1000032,5c3b0a7d65cb,3/6/17,3/15/17,3/28/17
1000033,93fec9155c3d,3/19/17,3/19/17,3/28/17
1000034,aab2aa022582,3/25/17,3/25/17,3/28/17
1000035,780970808f40,3/26/17,3/26/17,3/28/17
1000036,0cf5452b6ca2,3/22/17,3/22/17,3/28/17
1000037,86f3729167e9,3/18/17,3/18/17,3/28/17
1000038,a9cdcf1dc013,3/23/17,3/23/17,3/28/17
1000039,d1009918420b,3/23/17,3/23/17,3/28/17
1000040,3af2e63842d2,3/18/17,3/18/17,3/26/17
1000041,e534be51e6cb,2/26/17,3/15/17,3/28/17
1000042,07d3826fbbc1,3/6/17,3/15/17,3/28/17
1000043,cc24a6efc79b,2/20/17,3/15/17,3/22/17
1000044,2d317c4fe8d6,3/19/17,3/19/17,3/28/17
1000045,0d69630a989d,3/18/17,3/18/17,3/28/17
1000046,16c56430760f,3/25/17,3/25/17,3/28/17
1000047,66bcedbea790,3/8/17,3/15/17,3/28/17
1000048,b6955519359c,3/8/17,3/15/17,3/28/17
1000049,44b472eb8ed4,2/23/17,3/15/17,3/25/17
1000050,9bdc5fc458fd,3/15/17,3/15/17,3/17/17
1000051,9b1401e36bde,2/14/17,3/15/17,3/16/17
1000052,5b247ccb009a,3/2/17,3/15/17,3/28/17
1000053,a74537f91f5c,3/10/17,3/15/17,3/28/17
1000054,bbbb62172743,3/12/17,3/15/17,3/28/17
